"Relative Time (Process)","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.0.memoryAllocated","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.0.memoryAllocated__MIN","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.0.memoryAllocated__MAX","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.1.memoryAllocated","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.1.memoryAllocated__MIN","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.1.memoryAllocated__MAX","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.2.memoryAllocated","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.2.memoryAllocated__MIN","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.2.memoryAllocated__MAX","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.0.memoryAllocated","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.0.memoryAllocated__MIN","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.0.memoryAllocated__MAX","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.1.memoryAllocated","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.1.memoryAllocated__MIN","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.1.memoryAllocated__MAX","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.2.memoryAllocated","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.2.memoryAllocated__MIN","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.2.memoryAllocated__MAX"
"15.415313894","","","","","","","","","","48.55539637058261","48.55539637058261","48.55539637058261","33.1159915776678","33.1159915776678","33.1159915776678","36.359023617261435","36.359023617261435","36.359023617261435"
"15.419779363","50.07923070243987","50.07923070243987","50.07923070243987","34.19700225753235","34.19700225753235","34.19700225753235","38.06519709993922","38.06519709993922","38.06519709993922","","","","","","","","",""
"30.399403889","","","","","","","","","","48.5727620039941","48.5727620039941","48.5727620039941","45.146034123469654","45.146034123469654","45.146034123469654","48.64520925588261","48.64520925588261","48.64520925588261"
"30.416862765","50.100937744204224","50.100937744204224","50.100937744204224","46.739330988972824","46.739330988972824","46.739330988972824","50.8506446991404","50.8506446991404","50.8506446991404","","","","","","","","",""
"45.40489382","","","","","","","","","","56.925631674915344","56.925631674915344","56.925631674915344","45.146034123469654","45.146034123469654","45.146034123469654","48.64520925588261","48.64520925588261","48.64520925588261"
"45.417524922","58.679560649474695","58.679560649474695","58.679560649474695","46.739330988972824","46.739330988972824","46.739330988972824","50.8506446991404","50.8506446991404","50.8506446991404","","","","","","","","",""
"60.405638197","58.679560649474695","58.679560649474695","58.679560649474695","46.739330988972824","46.739330988972824","46.739330988972824","50.8506446991404","50.8506446991404","50.8506446991404","","","","","","","","",""
"60.405883006","","","","","","","","","","56.925631674915344","56.925631674915344","56.925631674915344","45.146034123469654","45.146034123469654","45.146034123469654","48.64520925588261","48.64520925588261","48.64520925588261"
"75.402474139","","","","","","","","","","56.925631674915344","56.925631674915344","56.925631674915344","45.146034123469654","45.146034123469654","45.146034123469654","56.35555049057914","56.35555049057914","56.35555049057914"
"75.413961808","58.679560649474695","58.679560649474695","58.679560649474695","46.739330988972824","46.739330988972824","46.739330988972824","58.76937353477468","58.76937353477468","58.76937353477468","","","","","","","","",""
"90.400820338","","","","","","","","","","56.925631674915344","56.925631674915344","56.925631674915344","52.33540635582183","52.33540635582183","52.33540635582183","73.46069940088564","73.46069940088564","73.46069940088564"
