"Relative Time (Process)","reranker-MiniLM-L12-H384-uncased-msmarco-bce-Lion-None-ep-1-3 - system/gpu.0.memoryAllocated","reranker-MiniLM-L12-H384-uncased-msmarco-bce-Lion-None-ep-1-3 - system/gpu.0.memoryAllocated__MIN","reranker-MiniLM-L12-H384-uncased-msmarco-bce-Lion-None-ep-1-3 - system/gpu.0.memoryAllocated__MAX","reranker-MiniLM-L12-H384-uncased-msmarco-bce-Lion-None-ep-1-3 - system/gpu.1.memoryAllocated","reranker-MiniLM-L12-H384-uncased-msmarco-bce-Lion-None-ep-1-3 - system/gpu.1.memoryAllocated__MIN","reranker-MiniLM-L12-H384-uncased-msmarco-bce-Lion-None-ep-1-3 - system/gpu.1.memoryAllocated__MAX","reranker-MiniLM-L12-H384-uncased-msmarco-bce-Lion-None-ep-1-3 - system/gpu.2.memoryAllocated","reranker-MiniLM-L12-H384-uncased-msmarco-bce-Lion-None-ep-1-3 - system/gpu.2.memoryAllocated__MIN","reranker-MiniLM-L12-H384-uncased-msmarco-bce-Lion-None-ep-1-3 - system/gpu.2.memoryAllocated__MAX","reranker-MiniLM-L12-H384-uncased-msmarco-bce-adamW-ep-1-3 - system/gpu.0.memoryAllocated","reranker-MiniLM-L12-H384-uncased-msmarco-bce-adamW-ep-1-3 - system/gpu.0.memoryAllocated__MIN","reranker-MiniLM-L12-H384-uncased-msmarco-bce-adamW-ep-1-3 - system/gpu.0.memoryAllocated__MAX","reranker-MiniLM-L12-H384-uncased-msmarco-bce-adamW-ep-1-3 - system/gpu.1.memoryAllocated","reranker-MiniLM-L12-H384-uncased-msmarco-bce-adamW-ep-1-3 - system/gpu.1.memoryAllocated__MIN","reranker-MiniLM-L12-H384-uncased-msmarco-bce-adamW-ep-1-3 - system/gpu.1.memoryAllocated__MAX","reranker-MiniLM-L12-H384-uncased-msmarco-bce-adamW-ep-1-3 - system/gpu.2.memoryAllocated","reranker-MiniLM-L12-H384-uncased-msmarco-bce-adamW-ep-1-3 - system/gpu.2.memoryAllocated__MIN","reranker-MiniLM-L12-H384-uncased-msmarco-bce-adamW-ep-1-3 - system/gpu.2.memoryAllocated__MAX"
"15.358756683","24.538725362507595","24.538725362507595","24.538725362507595","23.352164192063906","23.352164192063906","23.352164192063906","21.15975297386472","21.15975297386472","21.15975297386472","","","","","","","","",""
"15.375527242","24.538725362507595","24.538725362507595","24.538725362507595","23.352164192063906","23.352164192063906","23.352164192063906","21.15975297386472","21.15975297386472","21.15975297386472","","","","","","","","",""
"15.426966226","","","","","","","","","","25.0683771815577","25.0683771815577","25.0683771815577","24.07717938699314","24.07717938699314","24.07717938699314","21.754525918207868","21.754525918207868","21.754525918207868"
"30.350251641","24.538725362507595","24.538725362507595","24.538725362507595","23.352164192063906","23.352164192063906","23.352164192063906","24.19873882087349","24.19873882087349","24.19873882087349","","","","","","","","",""
"30.38399877","24.538725362507595","24.538725362507595","24.538725362507595","23.352164192063906","23.352164192063906","23.352164192063906","24.19873882087349","24.19873882087349","24.19873882087349","","","","","","","","",""
"30.428463522","","","","","","","","","","25.0683771815577","25.0683771815577","25.0683771815577","24.07717938699314","24.07717938699314","24.07717938699314","24.793511765216635","24.793511765216635","24.793511765216635"
"45.356077661","24.543066770860467","24.543066770860467","24.543066770860467","23.352164192063906","23.352164192063906","23.352164192063906","27.168262134236347","27.168262134236347","27.168262134236347","","","","","","","","",""
"45.375890252","24.543066770860467","24.543066770860467","24.543066770860467","23.352164192063906","23.352164192063906","23.352164192063906","27.168262134236347","27.168262134236347","27.168262134236347","","","","","","","","",""
"45.421863954","","","","","","","","","","25.0683771815577","25.0683771815577","25.0683771815577","24.07717938699314","24.07717938699314","24.07717938699314","27.76303507857949","27.76303507857949","27.76303507857949"
"60.35668976","24.543066770860467","24.543066770860467","24.543066770860467","23.352164192063906","23.352164192063906","23.352164192063906","27.168262134236347","27.168262134236347","27.168262134236347","","","","","","","","",""
"60.366509722","24.543066770860467","24.543066770860467","24.543066770860467","23.352164192063906","23.352164192063906","23.352164192063906","27.168262134236347","27.168262134236347","27.168262134236347","","","","","","","","",""
"60.420458771","","","","","","","","","","29.22310497525397","29.22310497525397","29.22310497525397","24.07717938699314","24.07717938699314","24.07717938699314","27.76303507857949","27.76303507857949","27.76303507857949"
